objectid,parentid,title,creator,date,date-is-approximate?,description,physicaldescription,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,object_location,identifier,image_small,image_thumb,image_alt_text,object_transcript
wiharchive001,,A farewell dinner menu card,Christopher Crocker,1940-03,yes,"A menu card printed for a Farewell Dinner held at the Glynmill Inn, Corner Brook on March 23, 1940 by the Guards Athletic Association in honour of enlisted volunteer soldiers signed by 13 of the attendees",1 folded four page menu card; 14 x 18 cm,Document,"Corner Brook, NL",48.94911,-57.940277,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,/objects/small/wihwwii1940_20240831_0001_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0001_th.jpg,,
wiharchive002,wiharchive001,"A farewell dinner menu card, outside",,1940-03,yes,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0001.jpg,WIHWWII1940_20240831_0001,/objects/small/wihwwii1940_20240831_0001_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0001_th.jpg,"The image is of the front and back cover of an aged four-page document. The page on the right has a bordered design featuring text and a small illustration of a British flag in the center. The text is printed in a formal serif font. The left page is blank with visible aging spots and creases, consistent with the right page.",
wiharchive003,wiharchive001,"A farewell dinner menu card, inside",,1940-03,yes,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0002.jpg,WIHWWII1940_20240831_0002,/objects/small/wihwwii1940_20240831_0002_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0002_th.jpg,,
wiharchive004,,Corner Brook volunteers marching to the train station,Christopher Crocker,1940-04-12,,"A photo of Corner Brook volunteers marching to the train station to depart for Port aux Basques alongside men, women, and children from the community",1 photograph; black and white; 8.5 x 13.5 cm,Photograph,"Corner Brook, NL",48.950001,-57.950001,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,/objects/small/wihwwii1940_20240831_0003_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0003_th.jpg,,
wiharchive005,wiharchive004,"Corner Brook volunteers marching to the train station, front",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0003.jpg,WIHWWII1940_20240831_0003,/objects/small/wihwwii1940_20240831_0003_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0003_th.jpg,"The image is a historical black-and-white photograph showing a long procession of people, primarily men, walking along a rural road. They are walking in an orderly line, and their expressions range from serious to neutral. In the background, there is a visible small river or creek with a few trees lining the banks. On the left side, there are residential buildings on a sloped landscape. The photograph shows signs of aging, with visible creases and worn edges.",
wiharchive006,wiharchive004,"Corner Brook volunteers marching to the train station,back",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0004.jpg,WIHWWII1940_20240831_0004,/objects/small/wihwwii1940_20240831_0004_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0004_th.jpg,"The image is of the worn and aged back of a photograph. In the top center, the text ""POST CARD"" is printed, with a vertical dotted line dividing the sections for ""CORRESPONDENCE"" on the left and ""ADDRESS ONLY"" on the right. There is a rectangular outline for a stamp in the top right corner. Handwritten in blue ink are the numbers ""#1"" in the correspondence section and ""130%” on the right side, near the address section. On the left, handwritten in black ink is ""Hann"", and an old piece of brown tape marks the center. The card shows signs of wear, including darkened edges and small stains.",
wiharchive007,,Corner Brook volunteers marching to the train station,Christopher Crocker,1940-04-12,,"A photo of Corner Brook volunteers marching to the train station to depart for Port aux Basques alongside men, women, and children from the community",1 black and white photograph; 8.5 x 13.5 cm,Photograph,"Corner Brook, NL",48.950001,-57.950001,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0005_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0005_th.jpg,,
wiharchive008,wiharchive007,"Corner Brook volunteers marching to the train station, front",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0005.jpg,WIHWWII1940_20240831_0005,objects/small/wihwwii1940_20240831_0005_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0005_th.jpg,"The black and white image shows a large group of people walking down a rural road. The road is muddy and flanked by a hilly landscape. In the background, there are several buildings, some partially obscured by trees. A bridge crosses a stream to the left. The people in the procession appear to be of different ages, from children to adults.",
wiharchive009,wiharchive007,"Corner Brook volunteers marching to the train station, back",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0006.jpg,WIHWWII1940_20240831_0006,objects/small/wihwwii1940_20240831_0006_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0006_th.jpg,"The image is of the worn and aged back of a photograph, featuring several brown stains and spots scattered across its surface. At the top, centered, is the printed text ""POST CARD"" in large capital letters. Below this, there are two sections labeled ""CORRESPONDENCE"" on the left and ""ADDRESS ONLY"" on the right, with a vertical dotted line running between them. Handwritten in blue ink is the text “Route Marches while waiting to leave Corner Brook.” Additional smaller and fainter handwriting is visible, including ""Hann"" written vertically in black ink, and an old piece of brown tape marks the center.",
wiharchive010,,Corner Brook volunteers waiting to depart to Port aux Basques,Christopher Crocker,1940-04-12,,A photo of a group of Corner Brook volunteers waiting to depart by train for Port aux Basques,1 black and white photograph; 9 x 6 cm,Photograph,"Corner Brook, NL",48.950001,-57.950001,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0007_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0007_th.jpg,,
